year,schoolID,propClinical,propJunior,propSenior,over70,over70Clinical,under40,under40Clinical,female,femaleClinical,femaleClinicalOnly,minority,minorityClinical,minorityClinicalOnly,minorityFemale,minorityMale,age,propCollegeDeg,propLawDeg,propAdvLawDeg,propGradDeg,private,uncappedYear,HBCU,continental
1971,S1,0,0.705882352941177,0.294117647058824,0,0,0.529411764705882,0.529411764705882,0,0,,0,0,,0,0,40.8235294117647,0.941176470588235,1,0.117647058823529,0.117647058823529,0,1994,0,1
1972,S1,0,0.6875,0.3125,0,0,0.5,0.5,0,0,,0,0,,0,0,42.6875,0.9375,1,0.125,0.125,0,1994,0,1
1973,S1,0,0.666666666666667,0.333333333333333,0,0,0.533333333333333,0.533333333333333,0,0,,0,0,,0,0,42.9333333333333,0.933333333333333,1,0.133333333333333,0.133333333333333,0,1994,0,1
1974,S1,0,0.538461538461538,0.461538461538462,0,0,0.461538461538462,0.461538461538462,0,0,,0,0,,0,0,42.9230769230769,1,1,0.0769230769230769,0.0769230769230769,0,1994,0,1
1975,S1,0,0.571428571428571,0.428571428571429,0,0,0.357142857142857,0.357142857142857,0,0,,0,0,,0,0,43.8571428571429,0.928571428571429,1,0.142857142857143,0.142857142857143,0,1994,0,1
1976,S1,0.0588235294117647,0.411764705882353,0.529411764705882,0,0,0.375,0.411764705882353,0.0625,0.0588235294117647,0,0,0,0,0,0,41.7647058823529,0.9375,1,0.125,0.125,0,1994,0,1
1977,S1,0,0.4375,0.5625,0,0,0.375,0.375,0.0625,0.0625,,0,0,,0,0,43.3125,0.9375,1,0.125,0.125,0,1994,0,1
1978,S1,0,0.4375,0.5625,0,0,0.375,0.375,0.125,0.125,,0,0,,0,0,44.125,0.9375,1,0.125,0.125,0,1994,0,1
1979,S1,0,0.470588235294118,0.529411764705882,0,0,0.411764705882353,0.411764705882353,0.117647058823529,0.117647058823529,,0,0,,0,0,43.4705882352941,0.941176470588235,1,0.117647058823529,0.117647058823529,0,1994,0,1
1980,S1,0,0.555555555555556,0.444444444444444,0,0,0.5,0.5,0.111111111111111,0.111111111111111,,0,0,,0,0,42.1111111111111,1,1,0.111111111111111,0.111111111111111,0,1994,0,1
1981,S1,0,0.578947368421053,0.421052631578947,0,0,0.526315789473684,0.526315789473684,0.105263157894737,0.105263157894737,,0,0,,0,0,42.6842105263158,1,1,0.157894736842105,0.157894736842105,0,1994,0,1
1982,S1,0.0454545454545455,0.590909090909091,0.363636363636364,0,0,0.476190476190476,0.5,0.19047619047619,0.181818181818182,0,0,0,0,0,0,42.4090909090909,0.952380952380952,1,0.19047619047619,0.19047619047619,0,1994,0,1
1983,S1,0.0416666666666667,0.583333333333333,0.375,0,0,0.521739130434783,0.541666666666667,0.130434782608696,0.125,0,0,0,0,0,0,42.6666666666667,0.956521739130435,1,0.173913043478261,0.173913043478261,0,1994,0,1
1984,S1,0.0384615384615385,0.576923076923077,0.384615384615385,0,0,0.44,0.461538461538462,0.12,0.115384615384615,0,0,0,0,0,0,43.2307692307692,0.96,1,0.16,0.16,0,1994,0,1
1985,S1,0.0740740740740741,0.592592592592593,0.333333333333333,0,0,0.48,0.5,0.12,0.148148148148148,0.5,0.04,0.037037037037037,0,0,0.04,43,0.92,1,0.2,0.2,0,1994,0,1
1986,S1,0.0740740740740741,0.555555555555556,0.37037037037037,0,0,0.52,0.538461538461538,0.16,0.185185185185185,0.5,0.04,0.037037037037037,0,0,0.04,43.7692307692308,0.92,1,0.2,0.2,0,1994,0,1
1987,S1,0.0689655172413793,0.482758620689655,0.448275862068966,0,0,0.481481481481482,0.5,0.148148148148148,0.172413793103448,0.5,0.0740740740740741,0.0689655172413793,0,0,0.0740740740740741,44.8571428571429,0.925925925925926,1,0.185185185185185,0.185185185185185,0,1994,0,1
1988,S1,0.0714285714285714,0.392857142857143,0.535714285714286,0,0,0.384615384615385,0.407407407407407,0.192307692307692,0.214285714285714,0.5,0.0769230769230769,0.0714285714285714,0,0,0.0769230769230769,45.9259259259259,0.923076923076923,1,0.192307692307692,0.192307692307692,0,1994,0,1
1989,S1,0.0769230769230769,0.269230769230769,0.653846153846154,0,0,0.375,0.4,0.208333333333333,0.230769230769231,0.5,0.0833333333333333,0.0769230769230769,0,0,0.0833333333333333,46.76,0.916666666666667,1,0.208333333333333,0.208333333333333,0,1994,0,1
1990,S1,0.08,0.28,0.64,0,0,0.260869565217391,0.291666666666667,0.260869565217391,0.28,0.5,0.130434782608696,0.12,0,0.0434782608695652,0.0869565217391304,47.2916666666667,0.91304347826087,1,0.173913043478261,0.173913043478261,0,1994,0,1
1991,S1,0.0740740740740741,0.296296296296296,0.62962962962963,0.04,0.0384615384615385,0.24,0.269230769230769,0.24,0.259259259259259,0.5,0.16,0.148148148148148,0,0.04,0.12,47.3461538461539,0.92,1,0.2,0.2,0,1994,0,1
1992,S1,0.0769230769230769,0.269230769230769,0.653846153846154,0,0,0.166666666666667,0.2,0.25,0.269230769230769,0.5,0.166666666666667,0.153846153846154,0,0.0416666666666667,0.125,47.44,0.916666666666667,1,0.166666666666667,0.166666666666667,0,1994,0,1
1993,S1,0.04,0.28,0.68,0,0,0.166666666666667,0.16,0.25,0.24,0,0.166666666666667,0.16,0,0.0416666666666667,0.125,48.44,0.916666666666667,1,0.166666666666667,0.166666666666667,0,1994,0,1
1994,S1,0.0869565217391304,0.304347826086957,0.608695652173913,0,0,0.142857142857143,0.173913043478261,0.285714285714286,0.260869565217391,0,0.19047619047619,0.173913043478261,0,0.0476190476190476,0.142857142857143,47.1739130434783,0.904761904761905,1,0.19047619047619,0.19047619047619,0,1994,0,1
1995,S1,0.0833333333333333,0.333333333333333,0.583333333333333,0,0,0.136363636363636,0.166666666666667,0.318181818181818,0.291666666666667,0,0.227272727272727,0.208333333333333,0,0.0909090909090909,0.136363636363636,47.625,0.909090909090909,1,0.181818181818182,0.181818181818182,0,1994,0,1
1996,S1,0.1,0.45,0.45,0,0,0.166666666666667,0.2,0.388888888888889,0.35,0,0.222222222222222,0.2,0,0.111111111111111,0.111111111111111,45.25,0.888888888888889,1,0.222222222222222,0.222222222222222,0,1994,0,1
1997,S1,0.0434782608695652,0.521739130434783,0.434782608695652,0,0,0.136363636363636,0.173913043478261,0.318181818181818,0.304347826086957,0,0.227272727272727,0.217391304347826,0,0.0909090909090909,0.136363636363636,45.4782608695652,0.909090909090909,1,0.181818181818182,0.181818181818182,0,1994,0,1
1998,S1,0.0384615384615385,0.538461538461538,0.423076923076923,0,0,0.16,0.192307692307692,0.36,0.346153846153846,0,0.2,0.192307692307692,0,0.08,0.12,46.1153846153846,0.92,0.96,0.2,0.2,0,1994,0,1
1999,S1,0.037037037037037,0.518518518518519,0.444444444444444,0,0,0.192307692307692,0.222222222222222,0.423076923076923,0.407407407407407,0,0.153846153846154,0.148148148148148,0,0.0769230769230769,0.0769230769230769,46.8148148148148,0.884615384615385,1,0.230769230769231,0.230769230769231,0,1994,0,1
2000,S1,0.0384615384615385,0.5,0.461538461538462,0,0,0.12,0.153846153846154,0.36,0.346153846153846,0,0.16,0.153846153846154,0,0.08,0.08,47.7692307692308,0.88,1,0.28,0.28,0,1994,0,1
2001,S1,0.0357142857142857,0.5,0.464285714285714,0,0,0.111111111111111,0.142857142857143,0.37037037037037,0.357142857142857,0,0.148148148148148,0.142857142857143,0,0.0740740740740741,0.0740740740740741,47.9642857142857,0.888888888888889,1,0.259259259259259,0.259259259259259,0,1994,0,1
2002,S1,0.0357142857142857,0.535714285714286,0.428571428571429,0,0,0.111111111111111,0.142857142857143,0.37037037037037,0.357142857142857,0,0.148148148148148,0.142857142857143,0,0.0740740740740741,0.0740740740740741,48.9642857142857,0.888888888888889,1,0.259259259259259,0.259259259259259,0,1994,0,1
2003,S1,0.0357142857142857,0.5,0.464285714285714,0,0,0.0740740740740741,0.107142857142857,0.37037037037037,0.357142857142857,0,0.148148148148148,0.142857142857143,0,0.0740740740740741,0.0740740740740741,49.9642857142857,0.888888888888889,1,0.259259259259259,0.259259259259259,0,1994,0,1
2004,S1,0,0.5,0.5,0,0,0.0769230769230769,0.0769230769230769,0.384615384615385,0.384615384615385,,0.115384615384615,0.115384615384615,,0.0769230769230769,0.0384615384615385,51.0384615384615,0.923076923076923,1,0.230769230769231,0.230769230769231,0,1994,0,1
