year,propClinical,propJunior,propSenior,over70,over70Clinical,under40,under40Clinical,female,femaleClinical,femaleClinicalOnly,minority,minorityClinical,minorityClinicalOnly,minorityFemale,minorityMale,age,propCollegeDeg,propLawDeg,propAdvLawDeg,propGradDeg
1971,0.0074457753318226,0.379734541922952,0.612819682745225,0.0160655737704918,0.0159609120521173,0.473770491803279,0.474267100977199,0.0313828048381824,0.0324464633354964,0.173913043478261,0.0212002609262883,0.0213661379087083,0.0434782608695652,0.000652315720808872,0.0205479452054795,43.6824104234528,0.818656229615134,0.94194390084801,0.234181343770385,0.234181343770385
1972,0.00958945160323644,0.387174108480671,0.603236439916092,0.0145896656534954,0.0144665461121157,0.485410334346505,0.487643158529235,0.0375985445724682,0.0399399399399399,0.28125,0.0254160363086233,0.0254719808210968,0.03125,0.000605143721633888,0.0248108925869894,43.2139843279084,0.829349470499244,0.953101361573374,0.236913767019667,0.236913767019667
1973,0.0133111480865225,0.397115917914587,0.589572933998891,0.0155586987270156,0.0153760134190663,0.493352192362093,0.496785015376014,0.0506899464939454,0.0547374270630731,0.354166666666667,0.0275435637998876,0.0274542429284526,0.0208333333333333,0.00112422709387296,0.0264193367060146,43.0704500978474,0.834457560427206,0.957560427206296,0.241427768409219,0.241427768409219
1974,0.0114523685580427,0.405517959396148,0.58302967204581,0.0159489633173844,0.0157770181435709,0.499468367889421,0.501446226663161,0.0625,0.0667361835245047,0.431818181818182,0.0297525013164824,0.0294117647058824,0,0.00131648235913639,0.028436018957346,42.9626610570602,0.834913112164297,0.953923117430226,0.243285939968404,0.243285939968404
1975,0.0165356465166712,0.422607752778531,0.560856600704798,0.0144404332129964,0.0142387732749179,0.48958622604832,0.492059145673604,0.0648633728953906,0.0692182410423453,0.327868852459016,0.0311466372657111,0.0306316074817024,0,0.00137816979051819,0.0297684674751929,43.1823658269441,0.848401323042999,0.959206174200662,0.255237045203969,0.255237045203969
1976,0.0175849941383353,0.4021101992966,0.580304806565064,0.0153735287052606,0.0151157298063297,0.496757146288734,0.50118091639112,0.0793309438470729,0.081924882629108,0.226666666666667,0.0343675417661098,0.034232121922626,0.0266666666666667,0.00190930787589499,0.0324582338902148,43.0170051960321,0.850596658711217,0.962768496420048,0.255847255369928,0.255847255369928
1977,0.0196432603296455,0.390607360578009,0.589749379092346,0.014593467685893,0.0143149284253579,0.499189251795228,0.505339695523745,0.0894627622780724,0.092944369063772,0.270588235294118,0.0396130815292492,0.039286520659291,0.0229885057471264,0.0034546292031322,0.036158452326117,43.0892978868439,0.855596499309074,0.962690004606172,0.260479041916168,0.260479041916168
1978,0.0234604105571848,0.37581773065644,0.600721858786375,0.0104335729190818,0.0102365787079163,0.499188499884071,0.505232029117379,0.0955134135060129,0.100994125621329,0.333333333333333,0.0406560406560407,0.0401533949921047,0.0192307692307692,0.00438900438900439,0.0362670362670363,43.0525477707006,0.870870870870871,0.97020097020097,0.272349272349272,0.272349272349272
1979,0.0274994670645918,0.369217650820721,0.603282882114688,0.0114461809377064,0.011202068074106,0.49372661237068,0.500861697544162,0.109039052215884,0.115713065755764,0.357142857142857,0.0447172292854011,0.0441270518013217,0.0232558139534884,0.00635686102586585,0.0383603682595353,43.1432572167169,0.875493204734766,0.971065322227093,0.277729066199036,0.277729066199036
1980,0.0277488003338202,0.350093886918423,0.622157312747757,0.0140237324703344,0.0136928586475669,0.482200647249191,0.490836317674321,0.111635895234006,0.118421052631579,0.361538461538462,0.0484978540772532,0.0473607344043397,0.0075187969924812,0.00708154506437768,0.0414163090128755,43.5133768696019,0.879828326180258,0.968454935622318,0.288412017167382,0.288412017167382
1981,0.0280241935483871,0.347983870967742,0.623991935483871,0.0142259414225941,0.013883217639853,0.47071129707113,0.481420988158432,0.119784097986299,0.12699374116697,0.382352941176471,0.0514416096245592,0.0504032258064516,0.0143884892086331,0.00808960796515246,0.0433520016594068,43.8360555328706,0.878241028832193,0.967019290603609,0.290188757519187,0.290188757519187
1982,0.0302970297029703,0.338415841584158,0.631287128712871,0.0137238836542401,0.0133652503490924,0.451044653830397,0.462597247157391,0.128959738401798,0.136399682791435,0.377483443708609,0.053706350827037,0.0524752475247525,0.0130718954248366,0.00857667959975495,0.045129671227282,44.1919010572511,0.885031652031856,0.972227894629365,0.295895446191546,0.295895446191546
1983,0.0307514895252739,0.3446088794926,0.624639630982126,0.0155223880597015,0.015148572538357,0.431044776119403,0.441639153233638,0.139258083713549,0.148105404885555,0.430379746835443,0.0567122744398176,0.0555448779550259,0.01875,0.00951814396192743,0.0471941304778902,44.5004855311711,0.887566924449732,0.970652389450724,0.303192544120563,0.303192544120563
